Наименование;Цена
M&M;844.00
ITC;230.00
ULTRACEMCO;7,416.00
POWERGRID;213.10
TATACONSUM;742.00
SBIN;490.00
KOTAKBANK;1,845.60
BAJAJFINSV;17,169.00
TATASTEEL;1,170.05
AXISBANK;712.40
COALINDIA;149.15
RELIANCE;2,384.00
HDFC;2,755.00
BAJFINANCE;7,072.50
HDFCLIFE;670.00
CIPLA;896.20
HDFCBANK;1,503.00
BHARTIARTL;691.75
LT;1,866.00
HEROMOTOCO;2,484.10
TITAN;2,355.10
ADANIPORTS;763.70
SBILIFE;1,188.55
JSWSTEEL;670.30
DIVISLAB;4,653.85
UPL;746.95
HINDALCO;461.60
WIPRO;646.70
DRREDDY;4,645.10
BAJAJ-AUTO;3,289.65
HINDUNILVR;2,316.00
TCS;3,620.00
INDUSINDBK;944.95
ICICIBANK;757.60
NTPC;126.15
BPCL;391.00
IOC;117.70
SHREECEM;26,415.00
TECHM;1,639.00
MARUTI;7,476.00
BRITANNIA;3,571.00
EICHERMOT;2,480.00
TATAMOTORS;487.80
HCLTECH;1,158.25
GRASIM;1,715.00
INFY;1,745.00
ONGC;146.30
NESTLEIND;19,151.05
SUNPHARMA;752.50
ASIANPAINT;3,278.15
